size: [29789 4]
-0.008726654 0.06981323 -0.059341244 0
0.0017453308 0.106465176 -0.052359924 10000000
0.012217315 0.12740915 -0.057595916 20100000
0.029670622 0.12217315 -0.061086576 30000000
0.04188794 0.1134465 -0.0680679 40000000
0.057595916 0.09424786 -0.078539886 50000000
0.07330389 0.08377588 -0.10471985 60000000
0.06981323 0.057595916 -0.11868249 70000000
0.054105252 0.108210504 -0.106465176 80100000
0.06283191 0.17453307 -0.0907572 90000000
0.06283191 0.22863832 -0.08377588 100000000
0.066322565 0.29147023 -0.061086576 110000000
0.07504922 0.2949609 -0.02094397 120000000
0.0680679 0.29321557 0.006981323 130000000
0.043633267 0.25656363 0.013962646 140100000
0.02443463 0.1588251 -0.0052359924 150000000
0.012217315 0.033161283 -0.02094397 160000000
0.012217315 -0.07679455 -0.026179962 170000000
0.012217315 -0.13264513 -0.027925292 180000000
0.019198637 -0.09424786 -0.038397275 190000000
0.036651947 0.0 -0.038397275 200100000
0.043633267 0.10297451 -0.0226893 210000000
0.04886926 0.19024105 -0.0017453308 220000000
0.029670622 0.20245837 0.017453307 230000000
-0.019198637 0.16755176 0.027925292 240000000
-0.027925292 0.11170117 0.043633267 250000000
-0.033161283 0.04886926 0.033161283 260100000
-0.029670622 -0.033161283 -0.010471985 270000000
-0.017453307 -0.10471985 -0.05061459 280000000
0.0034906615 -0.09773852 -0.061086576 290000000
0.015707977 -0.034906615 -0.07155856 300000000
0.012217315 -0.0017453308 -0.06283191 310000000
0.013962646 0.0226893 -0.05061459 320100000
0.006981323 0.06283191 -0.034906615 330000000
0.0017453308 0.09599319 -0.026179962 340000000
-0.0052359924 0.10297451 -0.026179962 350000000
-0.012217315 0.06283191 -0.027925292 360000000
-0.0034906615 0.010471985 -0.027925292 370000000
0.006981323 -0.04886926 -0.0226893 380100000
0.012217315 -0.10297451 -0.034906615 390000000
0.010471985 -0.13788113 -0.05061459 400000000
0.0 -0.12915447 -0.05061459 410000000
-0.013962646 -0.10122918 -0.036651947 420000000
-0.0226893 -0.087266535 -0.036651947 430000000
-0.033161283 -0.120427825 -0.05061459 440100000
-0.061086576 -0.23387432 -0.06283191 450000000
-0.1361358 -0.48520195 -0.08203054 460000000
-0.24260098 -0.8883734 -0.10122918 470000000
-0.34732082 -1.2932901 -0.120427825 480000000
-0.4310967 -1.5638163 -0.13962646 490000000
-0.469494 -1.6982068 -0.1535891 500100000
-0.464258 -1.7400948 -0.17278774 510000000
-0.44505933 -1.7296227 -0.15707977 520000000
-0.44505933 -1.7313681 -0.09773852 530000000
-0.49218327 -1.799436 -0.036651947 540000000
-0.5166179 -1.8500506 0.012217315 550000000
-0.5113819 -1.7872187 0.052359924 560100000
-0.45727664 -1.5760337 0.085521206 570000000
-0.3630288 -1.1972969 0.10122918 580000000
-0.2600543 -0.7906348 0.10122918 590000000
-0.16755176 -0.4764753 0.085521206 600000000
-0.043633267 -0.21816635 0.061086576 610000000
0.10297451 0.012217315 0.026179962 620100000
0.25132763 0.2949609 -0.043633267 630000000
0.3682648 0.6213378 -0.14137179 640000000
0.45029533 0.902336 -0.16406108 650000000
0.5497792 1.2095143 -0.1588251 660000000
0.67718834 1.5289097 -0.1588251 670000000
0.8185601 1.809908 -0.18849573 680100000
0.912808 1.9669877 -0.20245837 690000000
0.9669132 1.9442985 -0.15009844 700000000
0.9861119 1.8727399 -0.04188794 710000000
0.9494599 1.7558028 0.057595916 720000000
0.9424786 1.6720269 0.07679455 730000000
0.9372426 1.6109403 -0.04188794 740100000
0.918044 1.6563189 -0.21816635 750000000
0.9145533 1.8168893 -0.26878095 760000000
0.9529506 1.9984037 -0.23561965 770000000
1.0018198 2.1502476 -0.19547704 780000000
1.0262545 2.3876126 -0.16406108 790000000
1.0367265 2.6145055 -0.087266535 800100000
1.0349811 2.7663493 0.0226893 810000000
1.0000745 2.8361626 0.12915447 820000000
0.90408134 2.7262065 0.22340234 830000000
0.7679455 2.5115309 0.3054329 840000000
0.64053637 2.2759113 0.34906614 850000000
0.5166179 2.1013782 0.3001969 860100000
0.43807802 2.047273 0.21118502 870000000
0.39444476 2.073453 0.1308998 880000000
0.42237005 2.1345396 0.055850584 890000000
0.4886926 2.1834087 0.0034906615 900000000
0.5899218 2.2148247 0.0034906615 910000000
0.6527537 2.1886446 0.031415954 920100000
0.68067896 2.036801 0.02443463 930000000
0.60562974 1.8448147 0.033161283 940000000
0.44505933 1.6301389 0.04886926 950000000
0.24958229 1.377066 0.052359924 960000000
0.07155856 1.0698878 0.04712393 970000000
-0.055850584 0.75223756 0.06981323 980100000
-0.1308998 0.4660033 0.11170117 990000000
-0.18325973 0.2391103 0.14486246 1000000000
-0.19722238 0.06457724 0.14835311 1010000000
-0.17453307 -0.0034906615 0.12391848 1020000000
-0.12217315 -0.012217315 0.07330389 1030000000
-0.09250253 -0.010471985 0.006981323 1040100000
-0.120427825 -0.05061459 -0.036651947 1050000000
-0.17802374 -0.16580643 0.0017453308 1060000000
-0.26878095 -0.3630288 0.07679455 1070000000
-0.38920876 -0.6387911 0.15533444 1080000000
-0.52883524 -0.9477146 0.2617996 1090000000
-0.67718834 -1.2915448 0.37175545 1100100000
-0.78190815 -1.6161762 0.42760605 1110000000
-0.7836535 -1.8849572 0.4188794 1120000000
-0.7138403 -1.9809504 0.3176502 1130000000
-0.6387911 -1.7854733 0.16929708 1140000000
-0.53581655 -1.4241899 0.043633267 1150000000
-0.39619008 -1.1222477 -0.019198637 1160100000
-0.23736498 -0.8779014 -0.012217315 1170000000
-0.120427825 -0.659735 0.017453307 1180000000
-0.085521206 -0.49567392 0.07330389 1190000000
-0.12391848 -0.5497792 0.11519183 1200000000
-0.16231576 -0.83077747 0.106465176 1210000000
-0.20594902 -1.0437078 0.034906615 1220100000
-0.28797957 -1.0070559 -0.06457724 1230000000
-0.37175545 -0.78190815 -0.13788113 1240000000
-0.39269942 -0.5637418 -0.18500505 1250000000
-0.31939554 -0.3700101 -0.1867504 1260000000
-0.19198638 -0.2042037 -0.15707977 1270000000
-0.055850584 -0.099483855 -0.12915447 1280100000
0.04712393 -0.040142607 -0.12391848 1290000000
0.085521206 0.010471985 -0.120427825 1300000000
0.085521206 0.06457724 -0.10471985 1310000000
0.02094397 0.07504922 -0.07155856 1320000000
-0.06981323 0.078539886 -0.038397275 1330000000
-0.13962646 0.057595916 0.029670622 1340100000
-0.17278774 -0.0052359924 0.10471985 1350000000
-0.16929708 -0.07504922 0.13962646 1360000000
-0.13264513 -0.13439047 0.13264513 1370000000
-0.085521206 -0.106465176 0.11693716 1380000000
-0.038397275 -0.07155856 0.085521206 1390100000
-0.031415954 -0.061086576 0.033161283 1400100000
-0.0226893 -0.04188794 -0.033161283 1410000000
-0.017453307 0.015707977 -0.087266535 1420000000
-0.015707977 0.055850584 -0.099483855 1430000000
-0.008726654 0.02094397 -0.09424786 1440000000
-0.017453307 -0.0453786 -0.085521206 1450000000
-0.040142607 -0.061086576 -0.07679455 1460100000
-0.06283191 -0.04886926 -0.04886926 1470000000
-0.06283191 -0.059341244 -0.038397275 1480000000
-0.0453786 -0.07679455 -0.033161283 1490000000
0.0017453308 -0.036651947 -0.036651947 1500000000
0.036651947 0.033161283 -0.052359924 1510000000
0.040142607 0.10122918 -0.07330389 1520100000
0.029670622 0.12566382 -0.07679455 1530000000
0.0034906615 0.1134465 -0.07504922 1540000000
-0.010471985 0.0907572 -0.080285214 1550000000
-0.0226893 0.040142607 -0.06981323 1560000000
-0.029670622 -0.031415954 -0.054105252 1570000000
-0.033161283 -0.085521206 -0.036651947 1580100000
-0.038397275 -0.12217315 -0.02443463 1590000000
-0.04712393 -0.087266535 -0.029670622 1600000000
-0.052359924 -0.006981323 -0.038397275 1610000000
-0.07330389 0.026179962 -0.031415954 1620000000
-0.07679455 0.0034906615 -0.038397275 1630000000
-0.0680679 -0.055850584 -0.026179962 1640100000
