size: [577 4]
0.0226893 0.057595916 -0.02094397 0
0.0017453308 0.04188794 -0.02443463 10100000
-0.012217315 0.015707977 -0.02094397 20000000
-0.017453307 -0.0226893 -0.027925292 30100000
-0.010471985 -0.02443463 -0.036651947 40000000
0.0052359924 -0.0034906615 -0.038397275 50100000
0.013962646 0.02094397 -0.04712393 60000000
0.012217315 0.040142607 -0.052359924 70100000
0.0017453308 0.043633267 -0.054105252 80000000
-0.010471985 0.019198637 -0.04188794 90100000
-0.006981323 -0.0034906615 -0.031415954 100000000
0.0052359924 -0.02094397 -0.027925292 110100000
0.019198637 -0.015707977 -0.026179962 120000000
0.036651947 0.0017453308 -0.02443463 130100000
0.04188794 0.012217315 -0.027925292 140000000
0.031415954 0.0226893 -0.036651947 150100000
0.02443463 0.017453307 -0.033161283 160000000
0.0 0.006981323 -0.031415954 170100000
-0.006981323 0.0017453308 -0.031415954 180000000
-0.015707977 0.0052359924 -0.019198637 190100000
-0.013962646 0.02443463 -0.017453307 200000000
-0.0017453308 0.033161283 -0.010471985 210100000
0.006981323 0.036651947 -0.0034906615 220000000
0.031415954 0.033161283 -0.0052359924 230100000
0.031415954 0.02443463 -0.006981323 240000000
0.027925292 0.013962646 -0.010471985 250100000
0.027925292 0.013962646 -0.02443463 260000000
0.010471985 0.02443463 -0.0226893 270100000
0.006981323 0.02094397 -0.026179962 280000000
0.0017453308 0.012217315 -0.026179962 290100000
-0.0052359924 -0.0034906615 -0.026179962 300000000
-0.008726654 0.0034906615 -0.029670622 310100000
-0.031415954 0.0052359924 -0.036651947 320000000
-0.04712393 0.019198637 -0.04188794 330100000
-0.031415954 0.019198637 -0.054105252 340000000
-0.012217315 0.0226893 -0.055850584 350100000
0.006981323 0.02443463 -0.057595916 360000000
0.02443463 0.015707977 -0.057595916 370100000
0.043633267 0.006981323 -0.04886926 380000000
0.0453786 -0.008726654 -0.04188794 390100000
0.04188794 -0.013962646 -0.05061459 400000000
0.0226893 -0.017453307 -0.054105252 410100000
0.0052359924 -0.015707977 -0.055850584 420000000
-0.015707977 -0.006981323 -0.057595916 430100000
-0.027925292 0.0017453308 -0.04712393 440000000
-0.031415954 0.015707977 -0.034906615 450100000
-0.036651947 0.0052359924 -0.027925292 460000000
-0.031415954 0.0 -0.026179962 470100000
-0.0226893 0.006981323 -0.015707977 480000000
-0.013962646 0.031415954 -0.02094397 490100000
-0.012217315 0.05061459 -0.017453307 500000000
-0.012217315 0.054105252 -0.019198637 510100000
-0.0226893 0.043633267 -0.017453307 520000000
-0.026179962 0.019198637 -0.02443463 530100000
-0.013962646 -0.008726654 -0.02443463 540000000
0.0 -0.008726654 -0.026179962 550100000
0.019198637 -0.0034906615 -0.029670622 560000000
0.031415954 0.0034906615 -0.033161283 570100000
0.036651947 0.012217315 -0.036651947 580000000
0.029670622 0.015707977 -0.027925292 590100000
0.033161283 0.019198637 -0.031415954 600000000
0.006981323 0.006981323 -0.031415954 610100000
0.010471985 0.0 -0.031415954 620000000
0.015707977 -0.012217315 -0.05061459 630100000
0.019198637 -0.012217315 -0.05061459 640000000
0.036651947 -0.0034906615 -0.054105252 650100000
0.038397275 0.019198637 -0.055850584 660000000
0.02443463 0.031415954 -0.04188794 670100000
0.0052359924 0.04886926 -0.031415954 680000000
-0.0226893 0.06283191 -0.02443463 690100000
-0.04886926 0.043633267 -0.02443463 700000000
-0.07330389 0.013962646 -0.02094397 710100000
-0.061086576 -0.017453307 -0.02443463 720000000
-0.02443463 -0.033161283 -0.027925292 730100000
0.026179962 -0.019198637 -0.036651947 740000000
0.06457724 0.019198637 -0.04188794 750000000
0.09250253 0.057595916 -0.033161283 760000000
0.080285214 0.06981323 -0.013962646 770100000
0.04886926 0.04886926 -0.0034906615 780000000
0.0052359924 0.02094397 0.008726654 790100000
-0.031415954 -0.012217315 0.008726654 800000000
-0.061086576 -0.017453307 0.008726654 810100000
-0.055850584 -0.017453307 0.012217315 820000000
-0.036651947 -0.012217315 0.013962646 830100000
-0.0052359924 -0.006981323 0.0034906615 840000000
0.02443463 0.0052359924 -0.008726654 850100000
0.036651947 0.010471985 -0.031415954 860000000
0.043633267 0.006981323 -0.04886926 870100000
0.038397275 0.017453307 -0.0680679 880000000
0.026179962 0.02443463 -0.07679455 890100000
0.0017453308 0.019198637 -0.07679455 900000000
-0.0034906615 0.010471985 -0.059341244 910100000
-0.013962646 0.0017453308 -0.040142607 920000000
-0.010471985 0.0 -0.026179962 930100000
-0.012217315 0.0052359924 -0.02094397 940000000
0.0 0.008726654 -0.015707977 950100000
0.015707977 0.02094397 -0.029670622 960000000
0.019198637 0.019198637 -0.038397275 970100000
0.0226893 0.02094397 -0.05061459 980000000
0.017453307 0.013962646 -0.04886926 990100000
0.019198637 0.013962646 -0.04188794 1000000000
0.006981323 0.0052359924 -0.031415954 1010100000
0.0017453308 0.0 -0.02443463 1020000000
-0.0017453308 -0.0052359924 -0.02443463 1030100000
-0.013962646 -0.008726654 -0.015707977 1040000000
-0.019198637 -0.015707977 -0.010471985 1050100000
-0.034906615 -0.006981323 -0.006981323 1060000000
-0.043633267 0.02094397 -0.015707977 1070100000
-0.0453786 0.043633267 -0.026179962 1080000000
-0.033161283 0.059341244 -0.026179962 1090100000
-0.02443463 0.054105252 -0.02443463 1100000000
-0.006981323 0.034906615 -0.02443463 1110100000
0.017453307 0.015707977 -0.031415954 1120000000
0.038397275 -0.0034906615 -0.04188794 1130100000
0.04886926 -0.010471985 -0.055850584 1140000000
0.036651947 -0.008726654 -0.057595916 1150100000
0.008726654 -0.008726654 -0.043633267 1160000000
-0.012217315 -0.010471985 -0.038397275 1170100000
-0.031415954 -0.0052359924 -0.0226893 1180000000
-0.026179962 0.010471985 -0.02443463 1190100000
0.0 0.029670622 -0.02443463 1200000000
0.0226893 0.043633267 -0.027925292 1210100000
0.04188794 0.038397275 -0.036651947 1220000000
0.052359924 0.033161283 -0.04188794 1230100000
0.038397275 0.015707977 -0.04188794 1240000000
0.015707977 -0.010471985 -0.057595916 1250100000
-0.013962646 -0.026179962 -0.055850584 1260000000
-0.04188794 -0.027925292 -0.0453786 1270100000
-0.059341244 -0.0226893 -0.029670622 1280000000
-0.05061459 0.006981323 -0.017453307 1290100000
-0.038397275 0.038397275 -0.008726654 1300000000
-0.013962646 0.05061459 -0.008726654 1310100000
0.015707977 0.036651947 -0.017453307 1320000000
0.04188794 0.02443463 -0.0226893 1330100000
0.059341244 0.006981323 -0.033161283 1340000000
0.052359924 0.0017453308 -0.040142607 1350100000
0.031415954 0.0017453308 -0.04712393 1360000000
-0.0017453308 0.0 -0.043633267 1370100000
-0.027925292 0.006981323 -0.033161283 1380000000
-0.061086576 0.006981323 -0.019198637 1390100000
-0.061086576 0.0017453308 -0.010471985 1400000000
-0.038397275 0.0017453308 -0.0017453308 1410100000
0.0 0.017453307 -0.008726654 1420000000
0.031415954 0.033161283 -0.013962646 1430100000
0.061086576 0.033161283 -0.0226893 1440000000
0.06283191 0.02443463 -0.043633267 1450100000
0.043633267 0.0017453308 -0.054105252 1460000000
0.006981323 -0.010471985 -0.06981323 1470100000
-0.036651947 -0.013962646 -0.07155856 1480000000
-0.059341244 -0.006981323 -0.06457724 1490100000
-0.054105252 0.008726654 -0.04188794 1500000000
-0.027925292 0.04886926 -0.02443463 1510100000
0.0 0.04886926 -0.015707977 1520000000
0.0226893 0.029670622 -0.017453307 1530100000
0.036651947 -0.0052359924 -0.02094397 1540000000
0.04188794 -0.015707977 -0.038397275 1550100000
0.029670622 -0.017453307 -0.04712393 1560000000
0.02094397 -0.0052359924 -0.057595916 1570100000
0.006981323 0.012217315 -0.05061459 1580000000
-0.0052359924 0.02094397 -0.033161283 1590100000
-0.006981323 0.02094397 -0.029670622 1600000000
-0.008726654 0.012217315 -0.031415954 1610100000
-0.006981323 0.0052359924 -0.029670622 1620000000
-0.006981323 0.006981323 -0.029670622 1630100000
-0.0034906615 0.015707977 -0.02443463 1640000000
-0.0052359924 0.013962646 -0.027925292 1650100000
0.0034906615 0.006981323 -0.027925292 1660000000
0.0052359924 0.010471985 -0.031415954 1670100000
0.017453307 0.017453307 -0.036651947 1680000000
0.015707977 0.010471985 -0.036651947 1690100000
0.0052359924 -0.0034906615 -0.040142607 1700000000
-0.0034906615 -0.010471985 -0.031415954 1710100000
