size: [1339 4]
-0.053407 -0.076113 -0.049088 0
-0.053578 -0.076976 -0.049532 9900000
-0.053736 -0.077823 -0.049974 20000000
-0.053889 -0.078672 -0.050412 29900000
-0.054035 -0.079545 -0.050848 40000000
-0.054166 -0.080452 -0.051279 49900000
-0.054259 -0.081390 -0.051696 60000000
-0.054302 -0.082352 -0.052094 69900000
-0.054299 -0.083315 -0.052469 80000000
-0.054247 -0.084272 -0.052818 89900000
-0.054143 -0.085202 -0.053141 100000000
-0.053994 -0.086099 -0.053442 109900000
-0.053806 -0.086979 -0.053722 120000000
-0.053574 -0.087854 -0.053981 129900000
-0.053285 -0.088728 -0.054227 140000000
-0.052947 -0.089601 -0.054453 149900000
-0.052560 -0.090489 -0.054661 160000000
-0.052121 -0.091405 -0.054852 169900000
-0.051627 -0.092353 -0.055021 180000000
-0.051076 -0.093314 -0.055175 189900000
-0.050461 -0.094290 -0.055318 200000000
-0.049786 -0.095282 -0.055449 209900000
-0.049065 -0.096290 -0.055573 220000000
-0.048307 -0.097316 -0.055696 229900000
-0.047522 -0.098343 -0.055823 240000000
-0.046707 -0.099374 -0.055957 249900000
-0.045828 -0.100411 -0.056096 260000000
-0.044869 -0.101444 -0.056239 269900000
-0.043846 -0.102476 -0.056382 280000000
-0.042776 -0.103506 -0.056520 289900000
-0.041666 -0.104541 -0.056654 300000000
-0.040513 -0.105597 -0.056785 309900000
-0.039314 -0.106673 -0.056914 320000000
-0.038055 -0.107775 -0.057045 329900000
-0.036734 -0.108904 -0.057174 340100000
-0.035342 -0.110059 -0.057298 349900000
-0.033882 -0.111229 -0.057414 360000000
-0.032369 -0.112394 -0.057530 369900000
-0.030808 -0.113529 -0.057647 380000000
-0.029200 -0.114628 -0.057772 389900000
-0.027548 -0.115698 -0.057909 400000000
-0.025855 -0.116749 -0.058058 409900000
-0.024116 -0.117796 -0.058221 420000000
-0.022315 -0.118888 -0.058390 429900000
-0.020463 -0.120028 -0.058569 440000000
-0.018559 -0.121214 -0.058752 449900000
-0.016582 -0.122436 -0.058940 460000000
-0.014529 -0.123683 -0.059141 469900000
-0.012416 -0.124940 -0.059351 480000000
-0.010273 -0.126181 -0.059570 489900000
-0.008145 -0.127384 -0.059801 500000000
-0.006058 -0.128542 -0.060045 509900000
-0.004005 -0.129661 -0.060304 520000000
-0.001941 -0.130787 -0.060570 529900000
0.000175 -0.131950 -0.060845 540000000
0.002396 -0.133180 -0.061132 549900000
0.004737 -0.134494 -0.061429 560000000
0.007171 -0.135870 -0.061740 569900000
