size: [2181 4]
0.14311711 -0.33684883 0.34208483 0
0.13962646 -0.6475177 0.37873676 10100000
0.13788113 -0.85346675 0.40142608 20000000
0.099483855 -0.9459693 0.41189805 30000000
0.06457724 -0.92153466 0.4031714 40000000
0.04188794 -0.79936147 0.36651945 50000000
0.0226893 -0.64402705 0.3106689 60000000
0.0017453308 -0.50789124 0.24609163 70100000
-0.0226893 -0.453786 0.19198638 80000000
-0.06981323 -0.5218539 0.14835311 90000000
-0.13962646 -0.68416965 0.12391848 100000000
-0.21467568 -0.8744107 0.07679455 110000000
-0.28274357 -0.9878572 -0.0052359924 120000000
-0.33684883 -0.97389454 -0.11693716 130100000
-0.39444476 -0.86044806 -0.2548183 140000000
-0.44331402 -0.7539829 -0.39095408 150000000
-0.44331402 -0.7033683 -0.49043795 160000000
-0.38222742 -0.71733093 -0.55326986 170000000
-0.30194223 -0.8744107 -0.5637418 180000000
-0.22863832 -1.1013037 -0.5218539 190100000
-0.19722238 -1.3037621 -0.43807802 200000000
-0.20245837 -1.4608419 -0.36651945 210000000
-0.2443463 -1.6283937 -0.34208483 220000000
-0.3176502 -1.7435855 -0.36651945 230000000
-0.3752461 -1.6475922 -0.43807802 240000000
-0.4310967 -1.3753207 -0.49567392 250100000
-0.43807802 -1.0245092 -0.5550152 260000000
-0.39444476 -0.7871442 -0.6021391 270000000
-0.3071782 -0.7086043 -0.6527537 280000000
-0.21293035 -0.7295483 -0.68416965 290000000
-0.1308998 -0.8569574 -0.66671634 300000000
-0.059341244 -1.139701 -0.6195924 310100000
0.019198637 -1.3473953 -0.56897783 320000000
0.07679455 -1.4276806 -0.54628855 330000000
0.10471985 -1.3491406 -0.53581655 340000000
0.12740915 -1.0995584 -0.5393072 350000000
0.13264513 -0.7662002 -0.53581655 360000000
0.15184377 -0.37873676 -0.53232586 370100000
0.19198638 0.0453786 -0.53581655 380000000
0.226893 0.4764753 -0.5305805 390000000
0.23736498 0.84299475 -0.49741927 400000000
0.24609163 1.0140371 -0.44855002 410000000
0.22165701 1.0018198 -0.41015273 420000000
0.16755176 0.82030547 -0.38397276 430100000
0.080285214 0.51836324 -0.34208483 440000000
-0.026179962 0.23387432 -0.2548183 450000000
-0.11868249 0.066322565 -0.14660779 460000000
-0.17627841 0.078539886 -0.006981323 470000000
-0.19198638 0.226893 0.11693716 480000000
-0.19722238 0.4258607 0.21991168 490100000
-0.20071304 0.57595915 0.27401692 500000000
-0.21293035 0.68416965 0.29321557 510000000
-0.22514766 0.7836535 0.30368754 520000000
-0.232129 0.8988453 0.3071782 530000000
-0.24085565 1.0000745 0.30892354 540000000
-0.25656363 1.0838504 0.2949609 550100000
-0.25656363 1.150173 0.28274357 560000000
-0.23038366 1.2077689 0.25830895 570000000
-0.19373171 1.2723461 0.232129 580000000
-0.13788113 1.3683393 0.19198638 590000000
-0.017453307 1.5097111 0.06981323 600000000
0.16231576 1.7191508 -0.12391848 610100000
0.31590486 2.0123663 -0.2949609 620000000
0.4258607 2.3020914 -0.3735008 630000000
0.49916458 2.427755 -0.34383017 640000000
0.5061459 2.3055818 -0.20594902 650000000
0.4782206 2.057745 -0.006981323 660000000
0.4310967 1.7784921 0.19198638 670100000
0.35081148 1.5498537 0.3298675 680000000
0.28797957 1.4276806 0.3857181 690000000
0.21642101 1.4206992 0.36651945 700000000
0.17627841 1.4957484 0.31939554 710000000
0.1588251 1.567307 0.2949609 720000000
0.1588251 1.6423563 0.3228862 730100000
0.17453307 1.7383494 0.37175545 740000000
0.21991168 1.8186346 0.40666208 750000000
0.25132763 1.8430693 0.41713405 760000000
0.2548183 1.8011813 0.4258607 770000000
0.23736498 1.6894802 0.45029533 780000000
0.2391103 1.5376364 0.45553133 790100000
0.2617996 1.4137179 0.39968073 800000000
0.33335817 1.4032459 0.2617996 810000000
0.3682648 1.4852765 0.1134465 820000000
0.37699145 1.6231576 0.027925292 830000000
0.3804821 1.6720269 0.017453307 840000000
0.3682648 1.572543 0.080285214 850100000
0.3298675 1.356122 0.22340234 860000000
0.27401692 1.1082851 0.4031714 870000000
0.20594902 0.902336 0.5113819 880000000
0.09773852 0.8290321 0.5201086 890000000
-0.019198637 0.87615603 0.47996596 900000000
-0.07155856 0.9459693 0.39269942 910100000
