size: [894 4]
-0.019198637 -0.012217315 -0.013962646 0
-0.015707977 -0.008726654 -0.019198637 9900000
-0.0052359924 0.012217315 -0.034906615 20000000
0.015707977 0.026179962 -0.034906615 29900000
0.034906615 0.029670622 -0.027925292 40000000
0.038397275 0.017453307 -0.026179962 49900000
0.04712393 0.0017453308 -0.031415954 60000000
0.043633267 -0.008726654 -0.034906615 69900000
0.031415954 -0.008726654 -0.043633267 80000000
0.026179962 -0.019198637 -0.04188794 89900000
0.012217315 -0.031415954 -0.038397275 100000000
0.0052359924 -0.04188794 -0.026179962 109900000
0.012217315 -0.040142607 -0.0226893 120000000
0.029670622 -0.026179962 -0.015707977 129900000
0.036651947 -0.0052359924 -0.02443463 140000000
0.04188794 0.013962646 -0.033161283 149900000
0.04188794 0.013962646 -0.0453786 160000000
0.0453786 0.0017453308 -0.052359924 169900000
0.04188794 -0.0034906615 -0.052359924 180000000
0.038397275 0.0017453308 -0.052359924 189900000
0.034906615 -0.0034906615 -0.05061459 200000000
0.04188794 -0.02443463 -0.055850584 209900000
0.057595916 -0.012217315 -0.06981323 220000000
0.07155856 0.026179962 -0.06981323 229900000
0.06981323 0.054105252 -0.0680679 240000000
0.055850584 0.0680679 -0.059341244 249900000
0.033161283 0.061086576 -0.057595916 260000000
0.0052359924 0.04712393 -0.055850584 269900000
-0.0226893 0.036651947 -0.066322565 280000000
-0.031415954 0.013962646 -0.07155856 289900000
-0.029670622 -0.006981323 -0.07504922 300000000
-0.019198637 -0.015707977 -0.080285214 309900000
-0.008726654 0.0 -0.07679455 320000000
0.012217315 0.02443463 -0.06283191 329900000
0.02443463 0.034906615 -0.043633267 340000000
0.02443463 0.034906615 -0.029670622 349900000
0.0 0.02094397 -0.017453307 360000000
-0.027925292 0.0052359924 -0.0034906615 369900000
-0.054105252 -0.0052359924 0.0017453308 380000000
-0.066322565 -0.0052359924 -0.0052359924 389900000
-0.061086576 0.0052359924 -0.013962646 400000000
-0.043633267 0.013962646 -0.036651947 409900000
-0.0226893 0.015707977 -0.05061459 420000000
-0.012217315 0.0034906615 -0.033161283 429900000
-0.017453307 -0.015707977 -0.013962646 440000000
-0.0453786 -0.027925292 0.0034906615 449900000
-0.06981323 -0.008726654 0.013962646 460000000
-0.07330389 0.026179962 0.0034906615 469900000
-0.054105252 0.0680679 -0.013962646 480000000
-0.013962646 0.07679455 -0.036651947 489900000
0.029670622 0.061086576 -0.052359924 500000000
0.066322565 0.04188794 -0.057595916 509900000
0.080285214 0.015707977 -0.052359924 520000000
0.06283191 -0.0052359924 -0.052359924 529900000
0.036651947 0.0017453308 -0.04712393 540000000
0.015707977 0.008726654 -0.040142607 549900000
0.0 0.015707977 -0.0453786 560000000
0.006981323 0.02094397 -0.052359924 569900000
0.026179962 0.026179962 -0.055850584 580000000
0.04188794 0.034906615 -0.06283191 589900000
0.04188794 0.038397275 -0.07504922 600000000
0.036651947 0.036651947 -0.087266535 609900000
0.038397275 0.029670622 -0.099483855 620000000
0.036651947 0.015707977 -0.09599319 629900000
0.040142607 0.0017453308 -0.07155856 640000000
0.052359924 -0.02094397 -0.04886926 649900000
0.052359924 -0.036651947 -0.0226893 660000000
0.036651947 -0.04886926 -0.0052359924 669900000
0.019198637 -0.04712393 0.0052359924 680000000
-0.0034906615 -0.029670622 0.012217315 689900000
-0.0226893 -0.0034906615 0.006981323 700000000
-0.031415954 0.006981323 -0.0052359924 709900000
-0.027925292 0.0052359924 -0.027925292 720000000
-0.010471985 -0.006981323 -0.0453786 729900000
0.012217315 -0.027925292 -0.061086576 740000000
0.043633267 -0.034906615 -0.06283191 749900000
0.066322565 -0.038397275 -0.06283191 760000000
0.06283191 -0.031415954 -0.061086576 769900000
0.036651947 -0.0226893 -0.0680679 780000000
0.02443463 -0.008726654 -0.07679455 789900000
0.0052359924 -0.010471985 -0.080285214 800000000
0.0 -0.019198637 -0.087266535 809900000
-0.0017453308 -0.034906615 -0.09599319 820000000
-0.0017453308 -0.04188794 -0.10122918 829900000
0.0034906615 -0.04712393 -0.10297451 840000000
-0.0034906615 -0.066322565 -0.09773852 849900000
-0.013962646 -0.085521206 -0.08901187 860000000
-0.0034906615 -0.078539886 -0.080285214 869900000
0.019198637 -0.059341244 -0.061086576 880000000
0.034906615 -0.019198637 -0.038397275 889900000
0.038397275 0.0034906615 -0.02443463 900000000
0.026179962 0.0 -0.019198637 909900000
0.013962646 -0.010471985 -0.02094397 920000000
0.026179962 -0.026179962 -0.027925292 929900000
0.04188794 -0.043633267 -0.04188794 940000000
0.066322565 -0.036651947 -0.054105252 949900000
0.057595916 -0.0052359924 -0.05061459 960000000
0.034906615 0.015707977 -0.033161283 969900000
